heuristic 1 1,heuristic 2 1,heuristic 2 2,heuristic 2 6,energy 1 0,edp 1 0
2350742.833333378,2510122.166666691,2387998.500000041,2498338.000000021,2108692.500000043,2111756.6666667056
1608487353.5273857,1694224486.2355149,1705058598.640026,1683444855.1281848,1505769325.5259187,1506431691.976694
3781140118811874.0,4252710438209252.5,4071677375964554.0,4205814252471274.0,3175204483466628.0,3181217168409789.0
