run,time,energy,future_jobs,pending_jobs,running_jobs,finished_jobs,slowdown_total,slowdown_avg,slowdown_max,slowdown_min,bounded_slowdown_total,bounded_slowdown_avg,bounded_slowdown_max,bounded_slowdown_min,waiting_time_total,waiting_time_avg,waiting_time_max,waiting_time_min
0,0,0,7,0,0,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,0.0,0.0,6,0,1,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,0.2,1.73802,5,0,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,0.4,9.17899,4,1,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,1.0,31.5019,3,2,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,1.2,38.94287,2,3,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,1.4,46.38384,1,4,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,1.8,61.26578000000001,0,5,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,3.141176471176471,111.16404943364992,0,3,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0
0,3.4352941182352943,122.1066523748264,0,2,2,3,14.160000004000008,4.720000001333336,7.600000002000004,1.0,3.0,1.0,1,1,3.282352942352942,1.0941176474509806,1.941176471176471,0.0
0,3.7294117652941177,133.04925531600287,0,1,2,4,25.48000000600001,6.370000001500003,11.320000002000006,1.0,4.0,1.0,1,1,6.317647060588236,1.579411765147059,3.0352941182352944,0.0
0,6.666666669294118,209.472310153374,0,0,2,5,26.48000000600001,5.296000001200002,11.320000002000006,1.0,5.0,1.0,1,1,6.317647060588236,1.2635294121176472,3.0352941182352944,0.0
0,6.670588236058824,209.5743435558885,0,0,1,6,28.272000006152492,4.712000001025415,11.320000002000006,1.0,6.0,1.0,1,1,8.647058825882354,1.4411764709803923,3.0352941182352944,0.0
0,13.333333336058825,269.52043041470654,0,0,0,7,30.12200000653411,4.303142858076301,11.320000002000006,1.0,7.2333333336058825,1.033333333372269,1.2333333336058825,1,14.313725495176472,2.0448179278823533,5.666666669294118,0.0
