run,time,energy,future_jobs,pending_jobs,running_jobs,finished_jobs,slowdown_total,slowdown_avg,slowdown_max,slowdown_min,bounded_slowdown_total,bounded_slowdown_avg,bounded_slowdown_max,bounded_slowdown_min,waiting_time_total,waiting_time_avg,waiting_time_max,waiting_time_min
0,1610478.3333333654,1117281536.5322044,41,168,7,675,3903.889198614106,5.783539553502379,1143.0619999995008,1.0,3903.889198614106,5.783539553502379,1143.0619999995008,1.0,3195316.1666672854,4733.801728395978,450111.8333333703,0.0
0,1612328.1666666667,1118761322.975895,41,167,7,676,3904.889198614106,5.776463311559328,1143.0619999995008,1.0,3904.889198614106,5.776463311559328,1143.0619999995008,1.0,3195316.1666672854,4726.799063117286,450111.8333333703,0.0
0,1634930.0,1137291088.6968477,40,168,7,676,3904.889198614106,5.776463311559328,1143.0619999995008,1.0,3904.889198614106,5.776463311559328,1143.0619999995008,1.0,3195316.1666672854,4726.799063117286,450111.8333333703,0.0
0,1643459.0,1144283458.2760415,39,169,7,676,3904.889198614106,5.776463311559328,1143.0619999995008,1.0,3904.889198614106,5.776463311559328,1143.0619999995008,1.0,3195316.1666672854,4726.799063117286,450111.8333333703,0.0
0,1644123.0,1144827828.4719126,38,170,7,676,3904.889198614106,5.776463311559328,1143.0619999995008,1.0,3904.889198614106,5.776463311559328,1143.0619999995008,1.0,3195316.1666672854,4726.799063117286,450111.8333333703,0.0
0,1644210.0,1144899154.084926,37,171,7,676,3904.889198614106,5.776463311559328,1143.0619999995008,1.0,3904.889198614106,5.776463311559328,1143.0619999995008,1.0,3195316.1666672854,4726.799063117286,450111.8333333703,0.0
0,1651202.0,1150631437.8342192,36,171,8,676,3904.889198614106,5.776463311559328,1143.0619999995008,1.0,3904.889198614106,5.776463311559328,1143.0619999995008,1.0,3195316.1666672854,4726.799063117286,450111.8333333703,0.0
0,1652191.1666666667,1151445668.0338717,36,171,7,677,3905.889198614106,5.769407974319211,1143.0619999995008,1.0,3905.889198614106,5.769407974319211,1143.0619999995008,1.0,3195316.1666672854,4719.817085180628,450111.8333333703,0.0
0,1653726.0,1152703977.555402,35,171,8,677,3905.889198614106,5.769407974319211,1143.0619999995008,1.0,3905.889198614106,5.769407974319211,1143.0619999995008,1.0,3195316.1666672854,4719.817085180628,450111.8333333703,0.0
0,1653992.6666666667,1152923483.5906916,35,171,7,678,3906.889198614106,5.762373449283342,1143.0619999995008,1.0,3906.889198614106,5.762373449283342,1143.0619999995008,1.0,3195316.1666672854,4712.855703049094,450111.8333333703,0.0
0,1655853.0,1154448649.2850473,34,171,8,678,3906.889198614106,5.762373449283342,1143.0619999995008,1.0,3906.889198614106,5.762373449283342,1143.0619999995008,1.0,3195316.1666672854,4712.855703049094,450111.8333333703,0.0
0,1655890.0,1154481001.7419915,33,171,9,678,3906.889198614106,5.762373449283342,1143.0619999995008,1.0,3906.889198614106,5.762373449283342,1143.0619999995008,1.0,3195316.1666672854,4712.855703049094,450111.8333333703,0.0
0,1655896.0,1154486364.9690008,32,171,10,678,3906.889198614106,5.762373449283342,1143.0619999995008,1.0,3906.889198614106,5.762373449283342,1143.0619999995008,1.0,3195316.1666672854,4712.855703049094,450111.8333333703,0.0
0,1655981.5714285714,1154563966.1145446,32,171,9,679,3907.889198614106,5.755359644497947,1143.0619999995008,1.0,3907.889198614106,5.755359644497947,1143.0619999995008,1.0,3195316.1666672854,4705.914825725015,450111.8333333703,0.0
