heuristic 1 1,heuristic 2 1,heuristic 2 2,heuristic 2 6,energy 1 0,edp 1 0
514017.5000000026,516308.3333333351,474792.6666666712,516308.3333333348,428567.5000000004,428567.5000000004
305666918.9448675,295681926.507954,312055348.0323943,295694814.69461346,271144351.8029644,271144351.8029644
157118145508744.22,152663042672111.4,148161590839896.66,152669696950285.16,116203656991317.05,116203656991317.05
